source,target,weight
AAPL,MSFT,0.5632287524096968
ADBE,ADSK,0.6352143785349846
ADBE,ANSS,0.6215862905203305
ADBE,CDNS,0.5936903207032708
ADBE,GOOG,0.5523333360974839
ADBE,GOOGL,0.5566883371991234
ADBE,INTU,0.6138322919796244
ADBE,MSFT,0.6384470806677537
ADBE,SNPS,0.6306856922662424
ADBE,TXN,0.5556942182297718
ADI,ADP,0.561778507070201
ADI,AMAT,0.7202348203768302
ADI,ANSS,0.5837757452229071
ADI,ASML,0.6244632994340216
ADI,AVGO,0.6580043666398461
ADI,CDNS,0.5902526272177472
ADI,FISV,0.5740158045851109
ADI,HON,0.5701926804796315
ADI,INTC,0.6139585386923435
ADI,KLAC,0.7011733528039048
ADI,LRCX,0.7078765725357731
ADI,MCHP,0.7999488961921585
ADI,MRVL,0.5811993327781371
ADI,MSFT,0.5651677337441284
ADI,MU,0.6049935687512493
ADI,NVDA,0.5915686752308223
ADI,NXPI,0.6560755013689233
ADI,QCOM,0.5806567709344114
ADI,SNPS,0.6110323270780441
ADI,SWKS,0.6668484783348566
ADI,TXN,0.8106434507748317
ADI,XLNX,0.6834614907818096
ADP,ANSS,0.5646881622219817
ADP,CTAS,0.6205701670418183
ADP,CTSH,0.5596395339887248
ADP,FISV,0.716654987696649
ADP,HON,0.6614229057896611
ADP,INTU,0.6298203469513761
ADP,MSFT,0.6068311852259811
ADP,PAYX,0.7943296341926067
ADP,PEP,0.5810550814953604
ADP,SBUX,0.552743527420753
ADP,SNPS,0.578079991677962
ADP,TXN,0.5906522348428029
ADP,VRSK,0.5747060017141307
ADSK,ANSS,0.6321813039468346
ADSK,CDNS,0.587644832822123
ADSK,INTU,0.5544135216339181
ADSK,MSFT,0.5572629485701864
ADSK,SNPS,0.5963069566581328
ADSK,TXN,0.5665284099075922
AEP,EXC,0.6889041005085796
AEP,PEP,0.569565112480628
AEP,XEL,0.843830879973257
AMAT,ANSS,0.5704043204120951
AMAT,ASML,0.6744800851762279
AMAT,AVGO,0.6104665130007727
AMAT,CDNS,0.589594780021052
AMAT,INTC,0.6151423082118715
AMAT,KLAC,0.7850379273983084
AMAT,LRCX,0.8360231000967854
AMAT,MCHP,0.7324256224945519
AMAT,MRVL,0.5568900275026817
AMAT,MSFT,0.5631220541916805
AMAT,MU,0.6262912536295686
AMAT,NVDA,0.5871967876914195
AMAT,NXPI,0.5778949021728587
AMAT,QCOM,0.5655699173260375
AMAT,SNPS,0.6141136136657851
AMAT,SWKS,0.6145970518339949
AMAT,TXN,0.7251745548144881
AMAT,XLNX,0.6278572684253835
AMZN,GOOG,0.576845632148967
AMZN,GOOGL,0.5763020250323921
ANSS,CDNS,0.6410151844937892
ANSS,FISV,0.5829412988359217
ANSS,INTU,0.6336959952019957
ANSS,KLAC,0.5734256650882813
ANSS,LRCX,0.5531406314495578
ANSS,MCHP,0.5740454715259583
ANSS,MSFT,0.6119207117667291
ANSS,PAYX,0.5665729482639432
ANSS,SNPS,0.6857891980384272
ANSS,TXN,0.6041479026980391
ASML,AVGO,0.5503865981283794
ASML,CDNS,0.5512314503369717
ASML,KLAC,0.6673825839186978
ASML,LRCX,0.6742678598830756
ASML,MCHP,0.6214744385407405
ASML,SNPS,0.5552432451898114
ASML,SWKS,0.5547571900829695
ASML,TXN,0.6248002103736433
AVGO,KLAC,0.5693155871911654
AVGO,LRCX,0.5998800891875702
AVGO,MCHP,0.632573605035247
AVGO,NXPI,0.5934906277679418
AVGO,SWKS,0.6620727239805446
AVGO,TXN,0.6482283026792487
CDNS,INTU,0.5926725898709551
CDNS,KLAC,0.5905588538051505
CDNS,LRCX,0.5878501257861246
CDNS,MCHP,0.5799380512592666
CDNS,MSFT,0.5826525973565696
CDNS,SNPS,0.7652724001633942
CDNS,TXN,0.6025753517979817
CMCSA,HON,0.5529016933668879
CSCO,MSFT,0.5506752901005106
CSX,HON,0.6345448985297444
CSX,PCAR,0.5830700767254701
CTAS,FISV,0.6416250564338392
CTAS,HON,0.6627552613358626
CTAS,MAR,0.5655293735273268
CTAS,PAYX,0.6005475108246366
CTSH,FISV,0.5741327411964765
CTSH,HON,0.5685569212457358
