Name,row_count,first_date,last_date,adj_close_non_null,coverage_pct
AAPL,2943,2010-01-04,2021-09-10,2943,100.0
ADBE,2943,2010-01-04,2021-09-10,2943,100.0
ADI,2943,2010-01-04,2021-09-10,2943,100.0
ADP,2943,2010-01-04,2021-09-10,2943,100.0
ADSK,2943,2010-01-04,2021-09-10,2943,100.0
AEP,2943,2010-01-04,2021-09-10,2943,100.0
ALGN,2943,2010-01-04,2021-09-10,2943,100.0
AMAT,2943,2010-01-04,2021-09-10,2943,100.0
AMD,2943,2010-01-04,2021-09-10,2943,100.0
AMGN,2943,2010-01-04,2021-09-10,2943,100.0
AMZN,2943,2010-01-04,2021-09-10,2943,100.0
ANSS,2943,2010-01-04,2021-09-10,2943,100.0
ASML,2943,2010-01-04,2021-09-10,2943,100.0
ATVI,2943,2010-01-04,2021-09-10,2943,100.0
AVGO,2943,2010-01-04,2021-09-10,2943,100.0
BIDU,2943,2010-01-04,2021-09-10,2943,100.0
BIIB,2943,2010-01-04,2021-09-10,2943,100.0
BKNG,2943,2010-01-04,2021-09-10,2943,100.0
CDNS,2943,2010-01-04,2021-09-10,2943,100.0
CERN,2943,2010-01-04,2021-09-10,2943,100.0
CHKP,2943,2010-01-04,2021-09-10,2943,100.0
CMCSA,2943,2010-01-04,2021-09-10,2943,100.0
COST,2943,2010-01-04,2021-09-10,2943,100.0
CPRT,2943,2010-01-04,2021-09-10,2943,100.0
CSCO,2943,2010-01-04,2021-09-10,2943,100.0
CSX,2943,2010-01-04,2021-09-10,2943,100.0
CTAS,2943,2010-01-04,2021-09-10,2943,100.0
CTSH,2943,2010-01-04,2021-09-10,2943,100.0
DLTR,2943,2010-01-04,2021-09-10,2943,100.0
DXCM,2943,2010-01-04,2021-09-10,2943,100.0
EA,2943,2010-01-04,2021-09-10,2943,100.0
EBAY,2943,2010-01-04,2021-09-10,2943,100.0
EXC,2943,2010-01-04,2021-09-10,2943,100.0
FAST,2943,2010-01-04,2021-09-10,2943,100.0
FISV,2943,2010-01-04,2021-09-10,2943,100.0
GILD,2943,2010-01-04,2021-09-10,2943,100.0
GOOG,2943,2010-01-04,2021-09-10,2943,100.0
GOOGL,2943,2010-01-04,2021-09-10,2943,100.0
HON,2943,2010-01-04,2021-09-10,2943,100.0
IDXX,2943,2010-01-04,2021-09-10,2943,100.0
ILMN,2943,2010-01-04,2021-09-10,2943,100.0
INCY,2943,2010-01-04,2021-09-10,2943,100.0
INTC,2943,2010-01-04,2021-09-10,2943,100.0
INTU,2943,2010-01-04,2021-09-10,2943,100.0
ISRG,2943,2010-01-04,2021-09-10,2943,100.0
KDP,2943,2010-01-04,2021-09-10,2943,100.0
KLAC,2943,2010-01-04,2021-09-10,2943,100.0
LRCX,2943,2010-01-04,2021-09-10,2943,100.0
LULU,2943,2010-01-04,2021-09-10,2943,100.0
MAR,2943,2010-01-04,2021-09-10,2943,100.0
MCHP,2943,2010-01-04,2021-09-10,2943,100.0
MDLZ,2943,2010-01-04,2021-09-10,2943,100.0
MELI,2943,2010-01-04,2021-09-10,2943,100.0
MNST,2943,2010-01-04,2021-09-10,2943,100.0
MRVL,2943,2010-01-04,2021-09-10,2943,100.0
MSFT,2943,2010-01-04,2021-09-10,2943,100.0
MTCH,2943,2010-01-04,2021-09-10,2943,100.0
MU,2943,2010-01-04,2021-09-10,2943,100.0
NFLX,2943,2010-01-04,2021-09-10,2943,100.0
NTES,2943,2010-01-04,2021-09-10,2943,100.0
NVDA,2943,2010-01-04,2021-09-10,2943,100.0
ORLY,2943,2010-01-04,2021-09-10,2943,100.0
PAYX,2943,2010-01-04,2021-09-10,2943,100.0
PCAR,2943,2010-01-04,2021-09-10,2943,100.0
PEP,2943,2010-01-04,2021-09-10,2943,100.0
QCOM,2943,2010-01-04,2021-09-10,2943,100.0
REGN,2943,2010-01-04,2021-09-10,2943,100.0
ROST,2943,2010-01-04,2021-09-10,2943,100.0
SBUX,2943,2010-01-04,2021-09-10,2943,100.0
SGEN,2943,2010-01-04,2021-09-10,2943,100.0
SIRI,2943,2010-01-04,2021-09-10,2943,100.0
SNPS,2943,2010-01-04,2021-09-10,2943,100.0
SWKS,2943,2010-01-04,2021-09-10,2943,100.0
TCOM,2943,2010-01-04,2021-09-10,2943,100.0
TMUS,2943,2010-01-04,2021-09-10,2943,100.0
TXN,2943,2010-01-04,2021-09-10,2943,100.0
VRSK,2943,2010-01-04,2021-09-10,2943,100.0
VRSN,2943,2010-01-04,2021-09-10,2943,100.0
VRTX,2943,2010-01-04,2021-09-10,2943,100.0
WBA,2943,2010-01-04,2021-09-10,2943,100.0
XEL,2943,2010-01-04,2021-09-10,2943,100.0
XLNX,2943,2010-01-04,2021-09-10,2943,100.0
CHTR,2936,2010-01-05,2021-09-10,2936,99.76214746856948
TSLA,2821,2010-06-29,2021-09-10,2821,95.85457016649677
NXPI,2794,2010-08-06,2021-09-10,2794,94.93713897383623
SPLK,2365,2012-04-19,2021-09-10,2365,80.36017669045192
FB,2344,2012-05-18,2021-09-10,2344,79.64661909616038
WDAY,2242,2012-10-12,2021-09-10,2242,76.18076792388719
CDW,2067,2013-06-27,2021-09-10,2067,70.23445463812436
JD,1840,2014-05-22,2021-09-10,1840,62.52123683316344
KHC,1559,2015-07-06,2021-09-10,1559,52.97315664288141
PYPL,1559,2015-07-06,2021-09-10,1559,52.97315664288141
TEAM,1449,2015-12-09,2021-09-10,1449,49.235474006116206
OKTA,1115,2017-04-07,2021-09-10,1115,37.88651036357458
DOCU,850,2018-04-27,2021-09-10,850,28.882093102276592
PDD,788,2018-07-26,2021-09-10,788,26.775399252463473
MRNA,695,2018-12-07,2021-09-10,695,23.615358477743797
FOXA,632,2019-03-12,2021-09-10,632,21.47468569486918
FOX,631,2019-03-13,2021-09-10,631,21.44070676180768
ZM,605,2019-04-18,2021-09-10,605,20.55725450220863
CRWD,568,2019-06-12,2021-09-10,568,19.30003397893306
PTON,494,2019-09-26,2021-09-10,494,16.785592932381924
